[00:00:00] 体の上とはだいたいできたかなと思うので 次は服のウェイトをやっていこうと思い
[00:22:10] 前髪のセンターのところの防音は名前変え ちゃったので動かなくなっちゃってるん
[00:22:12] ちゃったので動かなくなっちゃってるん ですけど
[00:22:14] ですけど こっちの
[00:22:15] こっちの 板の方
[00:22:17] 板の方 ウェイト転送用の板の頂点グループ名を
[00:22:20] ウェイト転送用の板の頂点グループ名を リネームしたボン目と一致させてあげたら
[00:22:23] リネームしたボン目と一致させてあげたら こっちでもちゃんとまた動くようになると
[00:22:26] こっちでもちゃんとまた動くようになると 思います
[00:22:27] 思います 1本目変えたらそういう風に
[00:22:30] 1本目変えたらそういう風に 他のおやつも書いてあげてください
[00:22:34] 他のおやつも書いてあげてください 今作った板もリネームして別コレクション
[00:22:37] 今作った板もリネームして別コレクション に移動しておきます
[00:22:42] [音楽] サイドヘアも同じような感じでやって
[00:22:46] サイドヘアも同じような感じでやって いこうと思います
[00:22:47] いこうと思います [音楽]
[00:22:48] [音楽] 繰り返しになる部分は早送りしつつやって
[00:22:51] 繰り返しになる部分は早送りしつつやって いきますね一旦顔のすぐ横のところは分離
[00:22:55] いきますね一旦顔のすぐ横のところは分離 しておいてこれ用のウェイトをつけてあげ
[00:22:58] しておいてこれ用のウェイトをつけてあげ ます
[00:23:00] ます うーんと
[00:23:02] うーんと 揺らしたい危険ら辺をまず選んで
[00:23:05] 揺らしたい危険ら辺をまず選んで ファーマッチはシフトAで新しい分を追加
[00:23:09] ファーマッチはシフトAで新しい分を追加 して
[00:23:11] して [音楽]
[00:23:12] [音楽] ペア
[00:23:14] ペア サイト
[00:23:15] サイト 001でいいかな
[00:23:18] 001でいいかな いいで押し出して
[00:23:20] いいで押し出して [音楽]
[00:23:40] [音楽] ちょっと体邪魔なので非表示にしておき
[00:23:42] ちょっと体邪魔なので非表示にしておき ます
[00:23:50] 目もいらないので一旦表示して [音楽]
[00:24:09] [音楽] こんな感じでいいかな
[00:24:11] こんな感じでいいかな [音楽]
[00:24:13] [音楽] ざっくり片手作ったら頂点グループを作成
[00:24:18] ざっくり片手作ったら頂点グループを作成 えっとペア
[00:24:21] えっとペア サイト
[00:24:22] サイト .001
[00:24:31] 002ドットR それぞれ作って
[00:24:37] それぞれ作って 編集モードで一番上のところにヘッドの
[00:24:40] 編集モードで一番上のところにヘッドの ウェイト1割あって
[00:24:43] ウェイト1割あって 中間点にドット
[00:24:46] 中間点にドット 001のウェイト1割あって
[00:24:49] 001のウェイト1割あって 一番下のところにドット002ドット
[00:24:53] 一番下のところにドット002ドット エールの
[00:24:55] エールの ウェイト1割当
[00:24:57] ウェイト1割当 します
[00:24:59] します コントロールAから
[00:25:01] コントロールAから ウォールトランスフォームで
[00:25:03] ウォールトランスフォームで トランスフォーム適用した後にミラーを
[00:25:06] トランスフォーム適用した後にミラーを 追加こんなこっちに
[00:25:09] 追加こんなこっちに データトランスファーや追加して
[00:25:13] データトランスファーや追加して ソースがこれ
[00:25:17] ソースがこれ でこの辺を必要にする
[00:25:20] でこの辺を必要にする データレイヤーする
[00:25:23] データレイヤーする モリファイアの順番入れ替える
[00:25:30] これで動いてくれますねもう動いてくれ てるけど
[00:25:35] てるけど カクカクってしてるこの変形が
[00:25:38] カクカクってしてるこの変形が 汚い感じになってるのでこの辺は調整して
[00:25:41] 汚い感じになってるのでこの辺は調整して あげます
[00:25:42] あげます [音楽]
[00:25:45] [音楽] この中間のところに例えば
[00:25:48] この中間のところに例えば 002のウェイトちっちゃいウェイト
[00:25:50] 002のウェイトちっちゃいウェイト 割り当ててあげるとか
[00:25:52] 割り当ててあげるとか 0.25
[00:25:54] ヘッドも0.25とかそんなにいらない
[00:26:01] [音楽] 割合やってるウエイト調整したり
[00:26:07] 割合やってるウエイト調整したり これの
[00:26:08] これの 位置調整したりして一番なだらかに変形
[00:26:12] 位置調整したりして一番なだらかに変形 するところを
[00:26:13] するところを 探しますどんなもんかな
[00:26:20] [音楽] いつも同じように動いてますねうん大丈夫
[00:26:29] いつも同じように動いてますねうん大丈夫 そう
[00:26:31] そう ただこれもリネームして別コレクションに
[00:26:36] ただこれもリネームして別コレクションに 移動します
[00:26:37] 移動します [音楽]
[00:26:40] [音楽] 顔にすっごい近いやつは
[00:26:42] 顔にすっごい近いやつは vrmで揺らした時におそらく
[00:26:45] vrmで揺らした時におそらく 干渉したりするのでもうこれには揺れ物
[00:26:48] 干渉したりするのでもうこれには揺れ物 つけないでもいいかなと思いますこれは
[00:26:51] つけないでもいいかなと思いますこれは もう頭にぴったりくっついて動くような
[00:26:54] もう頭にぴったりくっついて動くような 感じにしようかなと思いますほぼ見えない
[00:26:57] 感じにしようかなと思いますほぼ見えない だろうけどここの貫通気になるので直して
[00:27:00] だろうけどここの貫通気になるので直して おきます
[00:27:03] 見づらい [音楽]
[00:27:11] [音楽] うんこんなもんでいいかな
[00:27:14] うんこんなもんでいいかな 後ろのも一緒にやってあげます
[00:27:17] 後ろのも一緒にやってあげます ウィンってはツインテでやろうかなこの辺
[00:27:20] ウィンってはツインテでやろうかなこの辺 コントロール
[00:27:22] コントロール Lで
[00:27:23] Lで 選択してPで分離しますこれだけにして
[00:27:26] 選択してPで分離しますこれだけにして あげる
[00:27:26] あげる [音楽]
[00:27:29] [音楽] 揺らしたいところこの辺でいいかな
[00:27:35] 街を追加して
[00:27:40] ペア フェアテイル
[00:27:42] フェアテイル [音楽]
[00:27:45] [音楽] で右クリックシンメトライズそして
[00:27:49] で右クリックシンメトライズそして Fate転送用の板追加して
[00:27:58] [音楽] コントロール入れてオール
[00:28:02] コントロール入れてオール トランスフォームして
[00:28:04] トランスフォームして [音楽]
[00:28:23] 転送でソースは6日でオンにするオンに する部品みたいな
[00:28:28] する部品みたいな [音楽]
[00:28:31] [音楽] 上に持ってきて
[00:28:35] どこに問題なく動いてるかな [音楽]
[00:28:41] [音楽] にゃんにゃんにゃんにゃん
[00:28:42] にゃんにゃんにゃんにゃん [音楽]
[00:28:47] [音楽] これにミラーモディファイを追加して
[00:28:49] これにミラーモディファイを追加して なかったのにミラー追加して
[00:28:51] なかったのにミラー追加して [音楽]
[00:28:57] [音楽] これで大丈夫そうかな
[00:28:59] これで大丈夫そうかな これも一応リネームして
[00:29:05] いつコレクションになかなか
[00:29:10] 煩雑というか [音楽]
[00:29:12] [音楽] めんどくさいやり方ではあるんだけど
[00:29:14] めんどくさいやり方ではあるんだけど わりかし
[00:29:16] わりかし 綺麗になるし
[00:29:17] 綺麗になるし 後々例えば割り替えたり新しいパーツ追加
[00:29:21] 後々例えば割り替えたり新しいパーツ追加 したりするとウェイトってやり直しになっ
[00:29:23] したりするとウェイトってやり直しになっ たりするんだけど
[00:29:25] たりするんだけど ウェッジ転送のだったらそこはやり直しに
[00:29:28] ウェッジ転送のだったらそこはやり直しに ならないっていうのでいい点もまあまあ
[00:29:31] ならないっていうのでいい点もまあまあ あると思います
[00:29:33] あると思います [音楽]
[00:29:37] 手動でグラデーション塗りとかするのも 全然いいんだけどね裏で塗りしつつ
[00:29:42] 全然いいんだけどね裏で塗りしつつ こういうところゆ
[00:29:45] こういうところゆ るっと変えたいみたいな時って若干やり
[00:29:47] るっと変えたいみたいな時って若干やり づらかったりするので割と転送まだ試した
[00:29:51] づらかったりするので割と転送まだ試した ことない人は一度試してもらってもいいん
[00:29:54] ことない人は一度試してもらってもいいん じゃないかなと思います
[00:29:57] じゃないかなと思います [音楽]
