[00:00:00] 次は後ろ髪に本を入れたりしていこうと 思います後ろ髪は前髪とかとちょっと流れ
[00:21:33] キーで別のレイヤーに通します3つ目とか 適当なところに移動しておいてで人型の
[00:21:37] 適当なところに移動しておいてで人型の アマチュアをシフト選択してコントロール
[00:21:40] アマチュアをシフト選択してコントロール Jで一緒にしてあげます
[00:21:43] Jで一緒にしてあげます コントロールAした瞬間に
[00:21:45] コントロールAした瞬間に 裾用のポンプパって消えたと思うんです
[00:21:47] 裾用のポンプパって消えたと思うんです けど3つ目のコレクションにちゃんと存在
[00:21:49] けど3つ目のコレクションにちゃんと存在 してます
[00:21:50] してます [音楽]
[00:21:52] [音楽] 今度は転送先の服を選択して
[00:21:55] 今度は転送先の服を選択して モディファイヤーから
[00:21:58] データトランスファーモディファイヤーを 追加しますフォースはさっき作った
[00:22:04] 追加しますフォースはさっき作った ウェイトトランスファーMっていうやつ
[00:22:06] ウェイトトランスファーMっていうやつ ですね
[00:22:08] ですね 頂点データにチェック入れて頂点グループ
[00:22:11] 頂点データにチェック入れて頂点グループ をオンにしてマッピングはニアレスト
[00:22:14] をオンにしてマッピングはニアレスト フェイスインタープリテッドにしますで
[00:22:17] フェイスインタープリテッドにしますで ジェネレートデータレイヤーズそれのと
[00:22:20] ジェネレートデータレイヤーズそれのと [音楽]
[00:22:21] [音楽] ファイヤーよりも上に持ってきておきます
[00:22:25] ファイヤーよりも上に持ってきておきます これでボーンを動かしてみます
[00:22:29] これでボーンを動かしてみます ね
[00:22:30] ね [音楽]
[00:22:34] 転送はできてそうなんですけど 完全にはついてきてないですよね
[00:22:39] 完全にはついてきてないですよね これはもともとのスパインとか
[00:22:42] これはもともとのスパインとか レッグとかのウェイトを上書きして
[00:22:45] レッグとかのウェイトを上書きして るっていうよりもそこにさらに重ね乗せ
[00:22:48] るっていうよりもそこにさらに重ね乗せ みたいな感じでえっと
[00:22:52] みたいな感じでえっと のスカート用の棒のウェイトが乗ってるの
[00:22:54] のスカート用の棒のウェイトが乗ってるの でそれを
[00:22:56] でそれを 避けるために
[00:22:58] 避けるために 武器別コレクションに移動してた
[00:23:01] 武器別コレクションに移動してた ウェイト転送用メッシュと
[00:23:03] ウェイト転送用メッシュと アーマチュアをシフト選択して
[00:23:06] アーマチュアをシフト選択して コントロールP
[00:23:08] コントロールP withエンプティグループスっていうの
[00:23:09] withエンプティグループスっていうの をやってあげます
[00:23:11] をやってあげます そしたらスパーインとかチェストとかの空
[00:23:14] そしたらスパーインとかチェストとかの空 の頂点グループが作られてこのウェイト
[00:23:17] の頂点グループが作られてこのウェイト 転送用のメッシュには
[00:23:19] 転送用のメッシュには [音楽]
[00:23:21] [音楽] 裾用のボーンのウェイトが乗ってるだけ
[00:23:23] 裾用のボーンのウェイトが乗ってるだけ じゃなくてスパインとかチェストの
[00:23:26] じゃなくてスパインとかチェストの ウェイトは空なんですみたいな
[00:23:28] ウェイトは空なんですみたいな ゼロなんですっていう情報がついたので
[00:23:31] ゼロなんですっていう情報がついたので 元々あったチェストとかのウェイトに
[00:23:34] 元々あったチェストとかのウェイトに 重ね付け上乗せするっていうよりも
[00:23:37] 重ね付け上乗せするっていうよりも 塗り替えてくれるみたいな感じになって
[00:23:40] 塗り替えてくれるみたいな感じになって くれましたちょっとわかりづらいかな
[00:23:43] くれましたちょっとわかりづらいかな よくわからない人は真似しとけばOKです
[00:23:45] よくわからない人は真似しとけばOKです 以前エンプティグループスってした後は
[00:23:49] 以前エンプティグループスってした後は ここのアマチュアモディファイアはオフっ
[00:23:52] ここのアマチュアモディファイアはオフっ ておいてください
[00:23:53] ておいてください [音楽]
[00:23:54] [音楽] 1個目のコレクションだけ表示してみると
[00:23:57] 1個目のコレクションだけ表示してみると さっき半分くらいしかついてきてなかった
[00:24:02] さっき半分くらいしかついてきてなかった 裾がちゃんとくっついて動いてくれるよう
[00:24:03] 裾がちゃんとくっついて動いてくれるよう になりましたね
[00:24:05] になりましたね [音楽]
[00:24:07] [音楽] チェストとか動かしてみると上の方ついて
[00:24:10] チェストとか動かしてみると上の方ついて こなくなっちゃってるのでこれは頂点
[00:24:12] こなくなっちゃってるのでこれは頂点 グループで制御してあげる必要があります
[00:24:15] グループで制御してあげる必要があります [音楽]
[00:24:16] [音楽] 転送先のオブジェクト選んで新しい頂点
[00:24:19] 転送先のオブジェクト選んで新しい頂点 グループを作って頂点グループ名なんでも
[00:24:22] グループを作って頂点グループ名なんでも いいけどベイトトランス
[00:24:25] いいけどベイトトランス ファーとかにして
[00:24:27] ファーとかにして 動かしたい部分だけを選んで
[00:24:31] 動かしたい部分だけを選んで ベイト1アサインしますでアサインした後
[00:24:35] ベイト1アサインしますでアサインした後 にの
[00:24:37] にの 裾用のデータ
[00:24:39] 裾用のデータ トランスファーモディファイアの頂点
[00:24:41] トランスファーモディファイアの頂点 グループ指定するところで今作った頂点
[00:24:44] グループ指定するところで今作った頂点 グループを入れますそうすると今割り当て
[00:24:47] グループを入れますそうすると今割り当て したところだけがスカート用ウェイト転送
[00:24:50] したところだけがスカート用ウェイト転送 の影響を受けてるっていう感じですね
[00:24:55] それ以外のネックとか チェストとか上の方は影響を受けてない
[00:25:00] チェストとか上の方は影響を受けてない 感じになってます
[00:25:04] あのワンピースでももう一回同じことやっ てみますね
[00:25:08] てみますね まずはデータトランスファー
[00:25:10] まずはデータトランスファー モディファイアを追加するソースは
[00:25:13] モディファイアを追加するソースは ウエイトトランスファーMにする予定
[00:25:17] ウエイトトランスファーMにする予定 グループ頂点データにチェック入れて頂点
[00:25:20] グループ頂点データにチェック入れて頂点 グループをオンにしてマッピングは
[00:25:23] グループをオンにしてマッピングは ニアレストフェイスインターバルテッドに
[00:25:24] ニアレストフェイスインターバルテッドに する
[00:25:26] する でチャンネルとデータレイヤーズってする
[00:25:28] でチャンネルとデータレイヤーズってする のと
[00:25:30] のと アマチュアモリファイヤーの上に持って
[00:25:32] アマチュアモリファイヤーの上に持って くるのと
[00:25:36] ウェイト転送この範囲だけしてください ねっていう頂点グループ作って
[00:25:44] 範囲的には ここまでから
[00:25:48] ここまでから っていうところ選んでアサインして
[00:25:52] この範囲だけにしてくださいねっていう 頂点グループを指定して
[00:25:58] あげる目で上の方はチェストに従って動い てて
[00:26:02] てて [音楽]
[00:26:04] [音楽] 下の方はスカート用ボーンに
[00:26:07] 下の方はスカート用ボーンに 沿って動いてくれるようになってますね
[00:26:10] 沿って動いてくれるようになってますね あとはこれも同じことをやってあげないと
[00:26:13] あとはこれも同じことをやってあげないと いけないかちょっとごちゃってるので
[00:26:17] いけないかちょっとごちゃってるので iPadシェーディングランダムにして
[00:26:18] iPadシェーディングランダムにして おきますね
[00:26:19] おきますね 以前紹介した
[00:26:21] 以前紹介した コピーアトリビューズのメニューを使うの
[00:26:24] コピーアトリビューズのメニューを使うの もアリですね
[00:26:27] もアリですね [音楽]
[00:26:34] 選んでアサインして
[00:26:46] [音楽] ルネスカート用の棒を入れられたので次
[00:26:56] ルネスカート用の棒を入れられたので次 また他の昼間の棒を入れてあげようと思い
[00:26:59] また他の昼間の棒を入れてあげようと思い ます
[00:27:01] ます [音楽]
