[00:00:00] パーツが大体できたのでここからはボンを 入れていこうと思います今回作るのは
[00:23:48] でフトペイントモードでVで頂点マスク オンにしてからスムーズかけてあげると
[00:23:56] オンにしてからスムーズかけてあげると そんなにかくってはないかな
[00:23:59] そんなにかくってはないかな でも痩せすぎても嫌だからちょっと
[00:24:04] だけ向きにした時にもここってなってる からこの辺り選択して
[00:24:17] からこの辺り選択して スムーズ
[00:24:19] スムーズ [音楽]
[00:24:20] [音楽] うん向きにした時にもま人間の手ってそこ
[00:24:25] うん向きにした時にもま人間の手ってそこ までこっち側動かないけどカクっとなっの
[00:24:28] までこっち側動かないけどカクっとなっの で
[00:24:30] で う今選んでたところ1周スムーズかけて
[00:24:34] う今選んでたところ1周スムーズかけて あげてもいいかもですねこの
[00:24:39] あげてもいいかもですねこの 辺選んでおいてちょっと変形させた上
[00:24:44] 辺選んでおいてちょっと変形させた上 でウェイトペイントで
[00:24:50] スムーズうんちょっとスムーズかけて あげるくらいがちょうどいいかも
[00:24:58] も背中側がだいぶ一緒に動いて るっぽいですねレイトペイントモードで
[00:25:05] るっぽいですねレイトペイントモードで 頂点マスク切ってからネック選択し
[00:25:09] 頂点マスク切ってからネック選択し ていらなそうなところは引き算で消して
[00:25:14] ていらなそうなところは引き算で消して いくんですけどこのブレンドモードは
[00:25:17] いくんですけどこのブレンドモードは ミックスにしたり足し算アにしたり
[00:25:20] ミックスにしたり足し算アにしたり サブトラクトさえっと引き算にした
[00:25:23] サブトラクトさえっと引き算にした りっていうのは頻繁に切り替えると思うん
[00:25:25] りっていうのは頻繁に切り替えると思うん ですけどショートカットこれ割り当てられ
[00:25:28] ですけどショートカットこれ割り当てられ ないですよねでそのショートカットを
[00:25:31] ないですよねでそのショートカットを 割り当ててくれるようにしてくれるアド
[00:25:34] 割り当ててくれるようにしてくれるアド ンっていうのを友達が作ってくれたので
[00:25:36] ンっていうのを友達が作ってくれたので そのダウンロードリンクもえっと概要欄に
[00:25:40] そのダウンロードリンクもえっと概要欄に 貼っておきますこのアを入れとくとこう
[00:25:44] 貼っておきますこのアを入れとくとこう いう風に今シフト1シフト2シフト3って
[00:25:47] いう風に今シフト1シフト2シフト3って いう風にショートカットを割り当ててるん
[00:25:50] いう風にショートカットを割り当ててるん です
[00:25:51] です けどシフト1でミックスシフト2であと
[00:25:54] けどシフト1でミックスシフト2であと シフト3でサブトラクトっていう風に
[00:25:57] シフト3でサブトラクトっていう風に ショートカットでブレンドモードを
[00:25:58] ショートカットでブレンドモードを 切り替わるようにできるようにしてもらっ
[00:26:01] 切り替わるようにできるようにしてもらっ て
[00:26:11] [音楽] ますあのめっちゃ便利なので是非皆さん
[00:26:21] ますあのめっちゃ便利なので是非皆さん 使ってみて
[00:26:22] 使ってみて くださいこれでボ動かしてみて急激に変化
[00:26:27] くださいこれでボ動かしてみて急激に変化 しちゃってるこの辺は編集モードで選択し
[00:26:31] しちゃってるこの辺は編集モードで選択し てウトペイントモードで頂点マスクして
[00:26:39] スムーズかけてあげる とどう
[00:26:44] とどう だろう多少いいか
[00:26:49] なここもそんなにネックのえっと乗って なくてもいい気がする
[00:26:55] なくてもいい気がする からちょっと
[00:26:58] からちょっと 引き算してあげ
[00:27:01] 引き算してあげ [音楽]
[00:27:02] [音楽] て一旦ネックのウェイト全部0にしてから
[00:27:07] て一旦ネックのウェイト全部0にしてから ウトペイントモード
[00:27:09] ウトペイントモード でスムーズ
[00:27:13] をちょびっとかけてあげると滑らかな感じ になるかなうんこんくらいこのスライダー
[00:27:21] になるかなうんこんくらいこのスライダー で調整できるのもいいですよ
[00:27:25] で調整できるのもいいですよ ねこの辺ガクガクしてるのもになるので
[00:27:30] ねこの辺ガクガクしてるのもになるので うんとウェイトのコピーっていうのもでき
[00:27:33] うんとウェイトのコピーっていうのもでき てここのウェイトをここにコピーしたい
[00:27:37] てここのウェイトをここにコピーしたい なっていう時にはコピーしたい頂点を最後
[00:27:40] なっていう時にはコピーしたい頂点を最後 に選んでからコピーって押してあげる
[00:27:43] に選んでからコピーって押してあげる とウトをコピーしてあげることはできます
[00:27:47] とウトをコピーしてあげることはできます ねよさげな方を後に選んでコピーって選ん
[00:27:51] ねよさげな方を後に選んでコピーって選ん であげるといい感じの設定になってくれる
[00:27:53] であげるといい感じの設定になってくれる かなと思います頭の棒を動かすと首がつい
[00:27:58] かなと思います頭の棒を動かすと首がつい てないのでベイトを一致させやすいように
[00:28:02] てないのでベイトを一致させやすいように 数値入力でやってあげようと思い
[00:28:05] 数値入力でやってあげようと思い ます首の方のレツゴブを選んでネックに
[00:28:13] ます首の方のレツゴブを選んでネックに 0.5とヘッドに
[00:28:16] 0.5とヘッドに 0.5っていうようなウェイトにしてあげ
[00:28:19] 0.5っていうようなウェイトにしてあげ ますで顔の方で
[00:28:23] ますで顔の方で もネックっていう点グループ作ってあげて
[00:28:28] もネックっていう点グループ作ってあげて ウェイトをこの結合部のところだけネック
[00:28:33] ウェイトをこの結合部のところだけネック のウェイトを0.5ヘッドのウェイトを
[00:28:35] のウェイトを0.5ヘッドのウェイトを 0.5って乗せてあげ
[00:28:37] 0.5って乗せてあげ ますそうするとここくっついてくれます
[00:28:42] ますそうするとここくっついてくれます ねめっちゃ動かすとこの辺がボコってなっ
[00:28:45] ねめっちゃ動かすとこの辺がボコってなっ ちゃってるんだけどここは多分もうサブ
[00:28:47] ちゃってるんだけどここは多分もうサブ ディビジョン適用してからじゃないと
[00:28:49] ディビジョン適用してからじゃないと ウェイトは調整できないのでとりあえず
[00:28:52] ウェイトは調整できないのでとりあえず こんな感じでいいんじゃなかろうかと思い
[00:28:54] こんな感じでいいんじゃなかろうかと思い ます
[00:28:56] ます [音楽]
[00:29:05] チスト動かしたら下とかめちゃくちゃ動い てるなここは直した方がいいかなと思うの
[00:29:11] てるなここは直した方がいいかなと思うの でチェスト選んでこの辺はさすがに感で
[00:29:17] でチェスト選んでこの辺はさすがに感で いいだろうみたいなところは引き算の
[00:29:21] いいだろうみたいなところは引き算の フレンドモード引き算にしたやつでパーて
[00:29:23] フレンドモード引き算にしたやつでパーて 消してあげ
[00:29:25] 消してあげ ますうんこのにも乗ってる
[00:29:32] なここにもちょっと乗って るっぽいんでこれも隣のウェイトコピーし
[00:29:40] るっぽいんでこれも隣のウェイトコピーし てあげましょうか真ん中のウェイトを隣の
[00:29:43] てあげましょうか真ん中のウェイトを隣の ウェイトからもらってきて同じにしてあげ
[00:29:46] ウェイトからもらってきて同じにしてあげ まし
[00:29:48] まし たパインのウトも下の方までだいぶ乗っ
[00:29:52] たパインのウトも下の方までだいぶ乗っ てるのでこの辺もさすが
[00:29:55] てるのでこの辺もさすが にいいだろうみたいなところけしておいて
[00:29:59] にいいだろうみたいなところけしておいて あげ
[00:30:01] あげ てコピーしたいところコピーするこれも
[00:30:05] てコピーしたいところコピーするこれも コピーし
[00:30:13] てこ前のめりにした時にここんところ へこんでるのやだからここ
[00:30:20] へこんでるのやだからここ [音楽]
[00:30:21] [音楽] もウェイトを削除しておいて
[00:30:26] もウェイトを削除しておいて [音楽]
[00:30:29] [音楽] せっかく今こういう風にパーって横に段が
[00:30:33] せっかく今こういう風にパーって横に段が 入ったようなトポロジにしてるのでこの横
[00:30:36] 入ったようなトポロジにしてるのでこの横 の列全部ウェイトコピーしてあげてもいい
[00:30:40] の列全部ウェイトコピーしてあげてもいい かもですね一番ウェイト綺麗そうなところ
[00:30:44] かもですね一番ウェイト綺麗そうなところ まなんとなくここかなっていうところを
[00:30:46] まなんとなくここかなっていうところを 選んでコピーってしてあげたらここの段
[00:30:49] 選んでコピーってしてあげたらここの段 全部同じウトになってくれると思い
[00:30:52] 全部同じウトになってくれると思い ますうん足曲げた時に星のとろぐれてる
[00:30:58] ますうん足曲げた時に星のとろぐれてる からここも直してあげ
[00:31:01] からここも直してあげ ましょうアッパーレグのいとここがそんな
[00:31:04] ましょうアッパーレグのいとここがそんな 乗ってなくていいってことですよ
[00:31:08] 乗ってなくていいってことですよ [音楽]
[00:31:09] [音楽] ねちょっとウェイトを減らしてあげた後に
[00:31:14] ねちょっとウェイトを減らしてあげた後に ガクってなってるところ選択し
[00:31:18] ガクってなってるところ選択し て頂点マスクしてからスムーズかける
[00:31:22] て頂点マスクしてからスムーズかける うーんもうちょっとトポロジーとか割と
[00:31:26] うーんもうちょっとトポロジーとか割と やりよがある気がするけど
[00:31:28] やりよがある気がするけど さきよりはまいいか
[00:31:31] さきよりはまいいか な膝も曲げてみてうんこうしてみるとここ
[00:31:36] な膝も曲げてみてうんこうしてみるとここ にやっぱ割りが必要だなとか膝の裏まま今
[00:31:41] にやっぱ割りが必要だなとか膝の裏まま今 のままでもいいかなここの割を逆に削除し
[00:31:46] のままでもいいかなここの割を逆に削除し てあげてもいいかなっていうのが動かして
[00:31:48] てあげてもいいかなっていうのが動かして みるとすごい分かりやすいですよ
[00:31:50] みるとすごい分かりやすいですよ [音楽]
[00:31:52] [音楽] ねうんとこの辺にありが欲しいから
[00:31:58] ねうんとこの辺にありが欲しいから 逃げクリックサブディバイドでスムース
[00:32:02] 逃げクリックサブディバイドでスムース ネスもちょこっとと上げておこうかなそう
[00:32:04] ネスもちょこっとと上げておこうかなそう するとこう膝がガグンってなってるのは
[00:32:08] するとこう膝がガグンってなってるのは 解消されるかなと思い
[00:32:10] 解消されるかなと思い ますこことかもこういう風にえぐれちゃっ
[00:32:13] ますこことかもこういう風にえぐれちゃっ てるのでこっちじゃないぞみたいな向きに
[00:32:17] てるのでこっちじゃないぞみたいな向きに 三角化してあげてもいいと
[00:32:21] 三角化してあげてもいいと 思うここも同じですね逆向き意図してる
[00:32:25] 思うここも同じですね逆向き意図してる 方向と逆向きに売れてるので三角化して
[00:32:28] 方向と逆向きに売れてるので三角化して おき
[00:32:30] おき ますさっきここら辺に割り出したので
[00:32:33] ますさっきここら辺に割り出したので 割り出した後
[00:32:35] 割り出した後 はVに割って三角化しておき
[00:32:43] ますロアアームのえっとここまではいらん 気がするのでこも引き算
[00:32:49] 気がするのでこも引き算 [音楽]
[00:32:52] [音楽] でしてあげます
[00:32:58] [音楽] 足首動かしてみておかしくないか確認し
[00:33:04] 足首動かしてみておかしくないか確認し [音楽]
[00:33:10] [音楽] ます先のウイと後ろの方まで乗ってるから
[00:33:14] ます先のウイと後ろの方まで乗ってるから この辺もさすがにいらないだろうみたいな
[00:33:18] この辺もさすがにいらないだろうみたいな ところは削除しておきます
[00:33:21] ところは削除しておきます [音楽]
[00:33:36] [音楽] おおなんかわかんないけどチェストのウと
[00:33:39] おおなんかわかんないけどチェストのウと この辺になってる
[00:33:43] なオートノーマライズオンにしてるとそう いうの起きたりしますね
[00:34:01] とまず体のウェイトはこんな感じでいいか なと思い
[00:34:05] なと思い ます次服とかやっていきますね
[00:34:10] ます次服とかやっていきますね [音楽]
